comName,sciName,invasionStatus,conservStatus,reg_US_Northeast,reg_US_Southeast,reg_US_Midwest,reg_US_Rockies,reg_US_Southwest,reg_US_WestCoast,reg_Alaska,reg_Hawaii,reg_Canada_Greenland,reg_Central_America,reg_Caribbean
Common Ostrich,Struthio camelus,Rare/Accidental,,Absent,Absent,Absent,Rare/Accidental,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Emu,Dromaius novaehollandiae,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Absent,Absent,Rare/Accidental,Absent,Rare/Accidental
Greater Rhea,Rhea americana,Rare/Accidental,,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent
Lesser Rhea,Rhea pennata,Rare/Accidental,,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
Chilean Tinamou,Nothoprocta perdicaria,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent
Highland Tinamou,Nothocercus bonapartei,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Great Tinamou,Tinamus major,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Little Tinamou,Crypturellus soui,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
Thicket Tinamou,Crypturellus cinnamomeus,Native,Least concern,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Slaty-breasted Tinamou,Crypturellus boucardi,Native,Vulnerable,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Choco Tinamou,Crypturellus kerriae,Native,Near threatened,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Native,Absent
Northern Screamer,Chauna chavaria,Rare/Accidental,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Rare/Accidental,Absent
Magpie Goose,Anseranas semipalmata,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent
Plumed Whistling-Duck,Dendrocygna eytoni,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
White-faced Whistling-Duck,Dendrocygna viduata,Rare/Accidental,,Absent,Rare/Accidental,Absent,Absent,Rare/Accidental,Absent,Absent,Rare/Accidental,Absent,Absent,Rare/Accidental
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Native,Least concern,Rare/Accidental,Rare/Accidental,Rare/Accidental,Native,Rare/Accidental,Rare/Accidental,Absent,Rare/Accidental,Rare/Accidental,Native,Rare/Accidental
West Indian Whistling-Duck,Dendrocygna arborea,Native,Near threatened,Absent,Rare/Accidental,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Native
Fulvous Whistling-Duck,Dendrocygna bicolor,Native,Least concern,Rare/Accidental,Native,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Absent,Rare/Accidental,Rare/Accidental,Native,Native
Bar-headed Goose,Anser indicus,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Absent,Absent,Rare/Accidental,Rare/Accidental,Absent
Emperor Goose,Anser canagicus,Native,Least concern,Rare/Accidental,Absent,Present,Present,Absent,Present,Present,Present,Present,Absent,Absent
Snow Goose,Anser caerulescens,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Ross's Goose,Anser rossii,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Absent,Present,Present,Present
Graylag Goose,Anser anser,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental
Swan Goose,Anser cygnoides,Introduced,,Rare/Accidental,Rare/Accidental,Introduced,Introduced,Introduced,Introduced,Introduced,Introduced,Introduced,Introduced,Introduced
Greater White-fronted Goose,Anser albifrons,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Present
Lesser White-fronted Goose,Anser erythropus,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Absent,Absent,Absent,Absent,Rare/Accidental,Absent,Absent,Absent,Absent
Taiga Bean-Goose,Anser fabalis,Rare/Accidental,,Rare/Accidental,Absent,Rare/Accidental,Absent,Absent,Rare/Accidental,Rare/Accidental,Absent,Rare/Accidental,Absent,Absent
Tundra Bean-Goose,Anser serrirostris,Rare/Accidental,,Rare/Accidental,Rare/Accidental,Rare/Accidental,Absent,Absent,Rare/Accidental,Rare/Accidental,Absent,Rare/Accidental,Absent,Absent
Pink-footed Goose,Anser brachyrhynchus,Native,Least concern,Rare/Accidental,Rare/Accidental,Rare/Accidental,Rare/Accidental,Absent,Rare/Accidental,Absent,Absent,Native,Absent,Absent
Brant,Branta bernicla,Native,Least concern,Native,Rare/Accidental,Present,Present,Present,Present,Present,Present,Present,Present,Present
Barnacle Goose,Branta leucopsis,Native,Least concern,Native,Rare/Accidental,Present,Present,Present,Present,Present,Absent,Present,Absent,Absent
Cackling Goose,Branta hutchinsii,Native,Least concern,Native,Native,Present,Present,Present,Present,Present,Present,Present,Present,Absent
