Common Name,Scientific Name
"Black-bellied Whistling-Duck","Dendrocygna autumnalis"
"Fulvous Whistling-Duck","Dendrocygna bicolor"
"Bar-headed Goose","Anser indicus"
"Emperor Goose","Anser canagicus"
"Snow Goose","Anser caerulescens"
"Ross's Goose","Anser rossii"
"Graylag Goose","Anser anser"
"Swan Goose","Anser cygnoides"
"Greater White-fronted Goose","Anser albifrons"
"Taiga Bean-Goose","Anser fabalis"
"Tundra Bean-Goose","Anser serrirostris"
"Pink-footed Goose","Anser brachyrhynchus"
"Brant","Branta bernicla"
"Barnacle Goose","Branta leucopsis"
"Cackling Goose","Branta hutchinsii"
"Canada Goose","Branta canadensis"
"Mute Swan","Cygnus olor"
"Black Swan","Cygnus atratus"
"Trumpeter Swan","Cygnus buccinator"
"Tundra Swan","Cygnus columbianus"
"Whooper Swan","Cygnus cygnus"
"Egyptian Goose","Alopochen aegyptiaca"
"Ruddy Shelduck","Tadorna ferruginea"
"South African Shelduck","Tadorna cana"
"Common Shelduck","Tadorna tadorna"
"Muscovy Duck","Cairina moschata"
"Ringed Teal","Callonetta leucophrys"
"Wood Duck","Aix sponsa"
"Mandarin Duck","Aix galericulata"
"Baikal Teal","Sibirionetta formosa"
"Garganey","Spatula querquedula"
"Blue-winged Teal","Spatula discors"
"Cinnamon Teal","Spatula cyanoptera"
"Northern Shoveler","Spatula clypeata"
"Gadwall","Mareca strepera"
"Falcated Duck","Mareca falcata"
"Eurasian Wigeon","Mareca penelope"
"American Wigeon","Mareca americana"
"Chiloe Wigeon","Mareca sibilatrix"
"Mallard","Anas platyrhynchos"
"American Black Duck","Anas rubripes"
"Mottled Duck","Anas fulvigula"
"White-cheeked Pintail","Anas bahamensis"
"Northern Pintail","Anas acuta"
"Green-winged Teal","Anas crecca"
"Chestnut Teal","Anas castanea"
"Marbled Duck","Marmaronetta angustirostris"
"Red-crested Pochard","Netta rufina"
"Canvasback","Aythya valisineria"
"Redhead","Aythya americana"
"Common Pochard","Aythya ferina"
"Ring-necked Duck","Aythya collaris"
"Tufted Duck","Aythya fuligula"
"Greater Scaup","Aythya marila"
"Lesser Scaup","Aythya affinis"
"Steller's Eider","Polysticta stelleri"
"King Eider","Somateria spectabilis"
"Common Eider","Somateria mollissima"
"Harlequin Duck","Histrionicus histrionicus"
"Surf Scoter","Melanitta perspicillata"
"White-winged Scoter","Melanitta deglandi"
"Common Scoter","Melanitta nigra"
"Black Scoter","Melanitta americana"
"Long-tailed Duck","Clangula hyemalis"
"Bufflehead","Bucephala albeola"
"Common Goldeneye","Bucephala clangula"
"Barrow's Goldeneye","Bucephala islandica"
"Smew","Mergellus albellus"
"Hooded Merganser","Lophodytes cucullatus"
"Common Merganser","Mergus merganser"
"Red-breasted Merganser","Mergus serrator"
"Ruddy Duck","Oxyura jamaicensis"
"Helmeted Guineafowl","Numida meleagris"
"Northern Bobwhite","Colinus virginianus"
"California Quail","Callipepla californica"
"Wild Turkey","Meleagris gallopavo"
"Ruffed Grouse","Bonasa umbellus"
"Dusky Grouse","Dendragapus obscurus"
"Sooty Grouse","Dendragapus fuliginosus"
"Sharp-tailed Grouse","Tympanuchus phasianellus"
"White-tailed Ptarmigan","Lagopus leucura"
"Willow Ptarmigan","Lagopus lagopus"
"Rock Ptarmigan","Lagopus muta"
"Spruce Grouse","Canachites canadensis"
"Gray Partridge","Perdix perdix"
"Golden Pheasant","Chrysolophus pictus"
"Lady Amherst's Pheasant","Chrysolophus amherstiae"
"Ring-necked Pheasant","Phasianus colchicus"
"Silver Pheasant","Lophura nycthemera"
