speciesCode,comName,sciName,reg_US_Northeast,reg_US_Southeast,reg_US_Midwest,reg_US_Rockies,reg_US_Southwest,reg_US_WestCoast,reg_Alaska,reg_Hawaii,reg_Canada_Greenland,reg_Central_America,reg_Caribbean
ostric2,Common Ostrich,Struthio camelus,,,,Present,,Present,,,,,
emu1,Emu,Dromaius novaehollandiae,Present,Present,Present,Present,Present,Present,,,Present,,Present
grerhe1,Greater Rhea,Rhea americana,,,,,Present,,,,,,
lesrhe2,Lesser Rhea,Rhea pennata,,,Present,,,,,,,,
chitin1,Chilean Tinamou,Nothoprocta perdicaria,,,,,,Present,,,,,
higtin1,Highland Tinamou,Nothocercus bonapartei,,,,,,,,,,Present,
gretin1,Great Tinamou,Tinamus major,,,,,,,,,,Present,
littin1,Little Tinamou,Crypturellus soui,,,,,,,,,,Present,Present
thitin1,Thicket Tinamou,Crypturellus cinnamomeus,,,,,,,,,,Present,
slbtin1,Slaty-breasted Tinamou,Crypturellus boucardi,,,,,,,,,,Present,
chotin1,Choco Tinamou,Crypturellus kerriae,,,,,,,,,,Present,
norscr1,Northern Screamer,Chauna chavaria,,,,,,,,,,Present,
maggoo1,Magpie Goose,Anseranas semipalmata,,Present,,,Present,,,,,,
plwduc1,Plumed Whistling-Duck,Dendrocygna eytoni,,Present,,,,,,,,,
wfwduc1,White-faced Whistling-Duck,Dendrocygna viduata,,Present,,,Present,,,Present,,,Present
bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis,Present,Present,Present,Present,Present,Present,,Present,Present,Present,Present
wiwduc1,West Indian Whistling-Duck,Dendrocygna arborea,,Present,,,Present,,,,,,Present
fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor,Present,Present,Present,Present,Present,Present,,Present,Present,Present,Present
bahgoo,Bar-headed Goose,Anser indicus,Present,Present,Present,Present,Present,Present,,,Present,Present,
empgoo,Emperor Goose,Anser canagicus,Present,,Present,Present,,Present,Present,Present,Present,,
snogoo,Snow Goose,Anser caerulescens,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
rosgoo,Ross's Goose,Anser rossii,Present,Present,Present,Present,Present,Present,Present,,Present,Present,Present
gragoo,Graylag Goose,Anser anser,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
swagoo1,Swan Goose,Anser cygnoides,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
gwfgoo,Greater White-fronted Goose,Anser albifrons,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
lwfgoo,Lesser White-fronted Goose,Anser erythropus,Present,Present,,,,,Present,,,,
taibeg1,Taiga Bean-Goose,Anser fabalis,Present,,Present,,,Present,Present,,Present,,
tunbeg1,Tundra Bean-Goose,Anser serrirostris,Present,Present,Present,,,Present,Present,,Present,,
pifgoo,Pink-footed Goose,Anser brachyrhynchus,Present,Present,Present,Present,,Present,,,Present,,
brant,Brant,Branta bernicla,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
bargoo,Barnacle Goose,Branta leucopsis,Present,Present,Present,Present,Present,Present,Present,,Present,,
cacgoo1,Cackling Goose,Branta hutchinsii,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,
cangoo,Canada Goose,Branta canadensis,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
hawgoo,Hawaiian Goose,Branta sandvicensis,,Present,,,,Present,,Present,,,
rebgoo1,Red-breasted Goose,Branta ruficollis,Present,,,,,Present,,,Present,,
buwgoo1,Blue-winged Goose,Cyanochen cyanoptera,,Present,,,,,,,,,
mutswa,Mute Swan,Cygnus olor,Present,Present,Present,Present,Present,Present,,Present,Present,Present,Present
blkswa,Black Swan,Cygnus atratus,Present,Present,Present,Present,Present,Present,,Present,Present,Present,Present
blnswa2,Black-necked Swan,Cygnus melancoryphus,Present,Present,,,Present,Present,,Present,,,
truswa,Trumpeter Swan,Cygnus buccinator,Present,Present,Present,Present,Present,Present,Present,,Present,,
tunswa,Tundra Swan,Cygnus columbianus,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
whoswa,Whooper Swan,Cygnus cygnus,Present,Present,Present,Present,Present,Present,Present,,Present,,
cosswa1,Coscoroba Swan,Coscoroba coscoroba,,Present,,,Present,,,,Present,,
comduc3,Comb Duck,Sarkidiornis sylvicola,,,,,,,,,,Present,Present
origoo1,Orinoco Goose,Oressochen jubatus,,Present,,,,,,Present,,Present,Present
uplgoo1,Upland Goose,Chloephaga picta,,,,,,Present,,,,,
radshe1,Radjah Shelduck,Radjah radjah,,Present,,,,,,Present,,,
egygoo,Egyptian Goose,Alopochen aegyptiaca,Present,Present,Present,Present,Present,Present,,,Present,Present,Present
rudshe,Ruddy Shelduck,Tadorna ferruginea,Present,Present,Present,Present,Present,Present,,Present,Present,,
soashe1,South African Shelduck,Tadorna cana,Present,Present,,,Present,Present,,,Present,,
parshe1,Paradise Shelduck,Tadorna variegata,Present,Present,,,,,,,,,
comshe,Common Shelduck,Tadorna tadorna,Present,Present,Present,Present,Present,Present,,,Present,,Present
creduc1,Crested Duck,Lophonetta specularioides,,,,,Present,Present,,,,,
musduc,Muscovy Duck,Cairina moschata,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
rintea1,Ringed Teal,Callonetta leucophrys,Present,Present,Present,Present,Present,Present,,,Present,,Present
wooduc,Wood Duck,Aix sponsa,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
manduc,Mandarin Duck,Aix galericulata,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
manduc1,Maned Duck,Chenonetta jubata,,Present,,,,,,,,,
baitea,Baikal Teal,Sibirionetta formosa,,Present,,Present,Present,Present,Present,Present,Present,,
gargan,Garganey,Spatula querquedula,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
hottea1,Blue-billed Teal,Spatula hottentota,,Present,,,,,,,,,
siltea1,Silver Teal,Spatula versicolor,,,,,Present,,,,,,
buwtea,Blue-winged Teal,Spatula discors,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
cintea,Cinnamon Teal,Spatula cyanoptera,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
norsho,Northern Shoveler,Spatula clypeata,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
gadwal,Gadwall,Mareca strepera,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
falduc,Falcated Duck,Mareca falcata,,Present,Present,,Present,Present,Present,,Present,,
eurwig,Eurasian Wigeon,Mareca penelope,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
amewig,American Wigeon,Mareca americana,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
chiwig1,Chiloe Wigeon,Mareca sibilatrix,,Present,Present,,Present,Present,,,Present,,
layduc,Laysan Duck,Anas laysanensis,,,,,,,,Present,,,
hawduc,Hawaiian Duck,Anas wyvilliana,,,,,,,,Present,,,
isbduc1,Indian Spot-billed Duck,Anas poecilorhyncha,,,,,,,,,Present,,
spbduc,Eastern Spot-billed Duck,Anas zonorhyncha,,,Present,,,,Present,,,,
mallar3,Mallard,Anas platyrhynchos,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
mexduc,Mexican Duck,Anas diazi,,,Present,Present,Present,Present,,,,Present,
ambduc,American Black Duck,Anas rubripes,Present,Present,Present,Present,Present,Present,Present,,Present,,Present
motduc,Mottled Duck,Anas fulvigula,Present,Present,Present,Present,Present,,,,Present,Present,Present
whcpin,White-cheeked Pintail,Anas bahamensis,Present,Present,Present,,Present,Present,,,Present,Present,Present
norpin,Northern Pintail,Anas acuta,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
yebpin1,Yellow-billed Pintail,Anas georgica,,,Present,,,,,,,,
gnwtea,Green-winged Teal,Anas crecca,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
yebtea1,Yellow-billed Teal,Anas flavirostris,Present,,,,,,,,,,
chetea1,Chestnut Teal,Anas castanea,,Present,,,,,,,Present,,
martea1,Marbled Duck,Marmaronetta angustirostris,,Present,,,Present,,,,Present,,
recpoc,Red-crested Pochard,Netta rufina,Present,Present,,Present,Present,Present,,,Present,,Present
soupoc1,Southern Pochard,Netta erythrophthalma,,Present,,,,,,,,,
robpoc1,Rosy-billed Pochard,Netta peposaca,,Present,,,Present,,,Present,,,Present
canvas,Canvasback,Aythya valisineria,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
redhea,Redhead,Aythya americana,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
compoc,Common Pochard,Aythya ferina,Present,Present,,,,Present,Present,,Present,Present,Present
rinduc,Ring-necked Duck,Aythya collaris,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
ferduc,Ferruginous Duck,Aythya nyroca,,Present,,,Present,,,,,,Present
baepoc1,Baer's Pochard,Aythya baeri,Present,,,,,,,,,,
tufduc,Tufted Duck,Aythya fuligula,Present,Present,Present,Present,Present,Present,Present,Present,Present,,Present
gresca,Greater Scaup,Aythya marila,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
lessca,Lesser Scaup,Aythya affinis,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
steeid,Steller's Eider,Polysticta stelleri,Present,,,,,Present,Present,,Present,,
labduc,Labrador Duck,Camptorhynchus labradorius,Present,,,,,,,,Present,,
speeid,Spectacled Eider,Somateria fischeri,,,,,,,Present,,Present,,
